회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
박셀바이오,323990,자연과학 및 공학 연구개발업,"항암면역세포치료제(자연살해세포, 수지상세포, CAR-T 및 인터루킨 기반 항암제)",9/22/2020,12월,이제중 (단독 대표이사),http://www.vaxcell-bio.com,전라남도
티와이홀딩스,363280,기타 금융업,지주사업,9/22/2020,12월,유종연,http://www.ty-holdings.co.kr,서울특별시
비비씨,318410,그외 기타 제품 제조업,덴탈 케어용 소재(테이퍼모 등),9/21/2020,12월,강기태,http://bestbristle.com,대전광역시
교보10호기업인수목적,355150,기타 금융업,기업 인수 및 합병,9/18/2020,12월,박상연,,서울특별시
핌스,347770,전자부품 제조업,OLED Metal Mask,9/18/2020,12월,김영주,http://pimskorea.com,인천광역시
압타머사이언스,291650,자연과학 및 공학 연구개발업,압타머기반 신약개발 및 진단제품 개발,9/16/2020,12월,한동일,http://www.aptsci.com,경기도
이오플로우,294090,의료용 기기 제조업,웨어러블 인슐린펌프,9/14/2020,12월,김재진,http://www.eoflow.com,경기도
카카오게임즈,293490,소프트웨어 개발 및 공급업,"모바일, PC게임 퍼블리싱",9/10/2020,12월,"남궁훈, 조계현",http://kakaogames.com,경기도
피엔케이피부임상연구센타,347740,"그외 기타 전문, 과학 및 기술 서비스업",피부인체적용시험,9/9/2020,12월,"박진오, 이해광(각자대표)",http://www.pnkskin.com,서울특별시
코람코에너지리츠,357120,부동산 임대 및 공급업,부동산 투자 및 관리,8/31/2020,11월,이성균,http://www.koramcoenergyplus.co.kr,서울특별시
미래에셋대우스팩 5호,353490,금융 지원 서비스업,금융 지원 서비스업,8/28/2020,12월,김영도,,서울특별시
아이디피,332370,컴퓨터 및 주변장치 제조업,"카드인쇄용 프린터, 카드인쇄용 리본",8/24/2020,12월,노현철,http://www.idp-corp.com,서울특별시
셀레믹스,331920,기초 의약물질 및 생물학적 제제 제조업,타겟캡처키트,8/21/2020,12월,"김효기, 이용훈",http://www.celemics.com/,서울특별시
데이드림엔터,348840,"영화, 비디오물, 방송프로그램 제작 및 배급업",드라마 및 영화제작,8/18/2020,12월,송정우,http://www.daydream.kr,서울특별시
미투젠,950190,소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임",8/18/2020,12월,린즈웨이/라우호밍,http://www.me2zen.com,홍콩
브랜드엑스코퍼레이션,337930,기타 정보 서비스업,"애슬레저의류, 생활/청결 용품",8/13/2020,12월,"강민준, 이수연",http://www.brandxcorp.com/,서울특별시
영림원소프트랩,060850,소프트웨어 개발 및 공급업,"ERP Package, 유지 관리 등",8/12/2020,12월,권영범,http://ksystem.co.kr,서울특별시
한국파마,032300,의약품 제조업,"완제의약품(정신신경계, 소화기계, 순환기계, 항생항균, 기타)",8/10/2020,12월,박은희,http://koreapharma.co.kr,경기도
제이알글로벌리츠,348950,부동산 임대 및 공급업,벨기에 파이낸스 타워,8/7/2020,06월,오남수,http://jrglobalreit.com,서울특별시
솔브레인,357780,기타 화학제품 제조업,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,8/6/2020,12월,노환철,http://www.soulbrain.co.kr,경기도
이루다,164060,의료용 기기 제조업,레이저 및 고주파 의료기기,8/6/2020,12월,김용한,http://www.ilooda.com,경기도
미래에셋맵스리츠,357250,부동산 임대 및 공급업,부동산 임대업,8/5/2020,11월,김호식,http://www.maps1reit.miraeasset.com,서울특별시
이지스레지던스리츠,350520,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",8/5/2020,06월,박영희,http://igisresidencereit.com/,서울특별시
와이팜,332570,전자부품 제조업,전력증폭기 모듈(PAM),7/31/2020,12월,유대규,http://www.wipam.co.kr,경기도
이엔드디,101360,기타 화학제품 제조업,배출가스 저감용 촉매 및 이차전지 양극활물질 전구체,7/30/2020,12월,김민용,http://www.endss.com,충청북도
에이치엠씨제4호스팩,353070,금융 지원 서비스업,기업인수합병,7/29/2020,12월,손혁,,서울특별시
엠투아이,347890,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","스마트HMI, 스마트SCADA, 스마트팩토리솔루션",7/29/2020,12월,김정열,http://www.m2i.co.kr,경기도
더네이쳐홀딩스,298540,의복 액세서리 제조업,"의류, 여행용 가방 및 잡화류",7/27/2020,12월,박영준,http://www.thenatureholdings.co.kr,서울특별시
제놀루션,225220,기초 의약물질 및 생물학적 제제 제조업,"핵산추출기기 및 시약, RNAi 사업 등",7/24/2020,12월,김기옥,http://genolution.co.kr,서울특별시
솔트룩스,304100,소프트웨어 개발 및 공급업,인공지능 및 빅데이터 소프트웨어,7/23/2020,12월,이경일,http://www.saltlux.com/,서울특별시
하나금융16호스팩,343510,금융 지원 서비스업,기업인수합병,7/23/2020,12월,한규정,,서울특별시
바이오인프라생명과학,266470,자연과학 및 공학 연구개발업,I-FINDER(바이오마커 진단),7/22/2020,12월,이덕윤,http://bioinfra.co.kr,서울특별시
티에스아이,277880,특수 목적용 기계 제조업,"2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)",7/22/2020,12월,표인식,http://taesungind.co.kr/,경기도
에이프로,262260,기타 전기장비 제조업,"2차전지 장비 등(일반충방전기, 고온가압 충방전기 등)",7/16/2020,12월,임종현,http://www.aproele.com,경기도
이지스밸류플러스리츠,334890,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",7/16/2020,08월,도병운,http://www.igisvaluereit.com,서울특별시
IBKS제13호스팩,351340,금융 지원 서비스업,기업인수 및 합병,7/15/2020,12월,김강민,,서울특별시
소마젠,950200,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분석 서비스 (NGS, CES 등)",7/13/2020,12월,Ryan W. Kim (김운봉),http://psomagen.com,미국
신도기연,290520,특수 목적용 기계 제조업,"OLED용 후공정장비(라미네이터, 오토클레이브 등)",7/6/2020,12월,박웅기,http://www.lcd.co.kr,경기도
위더스제약,330350,의약품 제조업,의약품 제조 및 도소매(순환기용제 등),7/3/2020,12월,성대영,http://withuspharm.com,서울특별시
에스케이바이오팜,326030,자연과학 및 공학 연구개발업,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,7/2/2020,12월,조정우,,경기도
엠브레인,169330,시장조사 및 여론조사업,온라인 및 오프라인 리서치,7/1/2020,06월,최인수,http://embrain.com/,서울특별시
젠큐릭스,229000,의료용품 및 기타 의약 관련제품 제조업,유방암 예후진단 및 폐암/대장암 동반진단 제품/검사서비스,6/25/2020,12월,조상래,http://www.gencurix.com,서울특별시
무진메디,322970,자연과학 및 공학 연구개발업,나노-유전자 편집 기술 기반 대장암·탈모 등 치료제,6/24/2020,12월,윤태종,http://www.moogene.com/,경기도
HB솔루션,297890,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",6/22/2020,12월,"이흥근, 이재원(공동 대표이사)",http://www.hb-solution.co.kr,충청남도
에스에이티이엔지,351320,특수 목적용 기계 제조업,기업인수목적회사,6/22/2020,12월,"소진석, 황성철",해당없음,경기도
에스씨엠생명과학,298060,의약품 제조업,세포치료제,6/17/2020,12월,송순욱,http://www.scmlifescience.com,인천광역시
휴럼,353190,기타 식품 제조업,금융지원 서비스,6/17/2020,12월,김진석,,서울특별시
이지바이오,353810,동물용 사료 및 조제식품 제조업,"자돈사료, 사료첨가제",6/5/2020,12월,"김지범, 황일환",http://www.easybio.co.kr/,서울특별시
드림씨아이에스,223250,자연과학 및 공학 연구개발업,시판후조사대행(rPMS),5/22/2020,12월,공경선,http://www.dreamcis.com,서울특별시
대덕전자,353200,전자부품 제조업,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",5/21/2020,12월,신영환,http://www.daeduck.com,경기도
이베스트스팩5호,349720,금융 지원 서비스업,해당없음,5/20/2020,12월,고병학,,서울특별시
오션스톤,329020,음·식료품 및 담배 도매업,"간고등어 제품, 냉동수산물 유통",5/7/2020,12월,이정훈,,부산광역시
이노진,344860,기타 화학제품 제조업,탈모케어제품(볼빅 등) 및 피부케어제품(Dr.메디션 등),4/27/2020,12월,이광훈,http://www.innogene.com,서울특별시
단디바이오,343090,의료용품 및 기타 의약 관련제품 제조업,"패혈증 치료제, 면역항암제 전달기술 등",4/24/2020,12월,"박영민, 김종원(각자대표)",http:// www.dandibio.com,서울특별시
케이프이에스제4호,347140,기타 금융업,기타금융지원서비스업,3/24/2020,12월,윤종연,,서울특별시
엔피디,198080,전자부품 제조업,스마트폰 OLED용 FPCA,3/16/2020,12월,강명구,http://www.newportdisplay.co.kr,경기도
플레이디,237820,광고업,온라인 광고 대행,3/12/2020,12월,이준용,http://www.playd.com,경기도
SK6호스팩,340350,금융 지원 서비스업,,3/11/2020,12월,송문규,,서울특별시
서울바이오시스,092190,반도체 제조업,"Visible LED, UV LED",3/6/2020,12월,이영주,http://www.seoulviosys.com/kr/,경기도
제이앤티씨,204270,전자부품 제조업,"강화유리, 커넥터",3/4/2020,12월,"박영준, 장용성(각자 대표이사)",,경기도
켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",항공가공품 및 조립품,3/3/2020,12월,케네스민규리,http://www.kencoa.com,경상남도
레몬,294140,화학섬유 제조업,"EMI Shield Can, 나노멤브레인 등",2/28/2020,12월,김광진,http://www.lemonano.co.kr,경상북도
서남,294630,기타 전기장비 제조업,고온초전도선재,2/20/2020,12월,문승현,http://www.i-sunam.com,경기도
신영스팩6호,344050,금융 지원 서비스업,기업인수,2/12/2020,12월,송동현,,서울특별시
위세아이텍,065370,소프트웨어 개발 및 공급업,"빅데이터분석, 인공지능, 데이터품질관리 솔루션",2/10/2020,12월,김종현,http://www.wise.co.kr,경기도
케이비제20호스팩,342550,금융 지원 서비스업,금융지원서비스,1/30/2020,12월,황정현,,서울특별시
하나금융15호스팩,341160,금융 지원 서비스업,기업인수합병,1/30/2020,12월,김철우,,서울특별시
케이씨씨글라스,344820,유리 및 유리제품 제조업,판유리 등,1/21/2020,12월,김내환,http://www.kccglass.co.kr,서울특별시
세림B&G,340440,플라스틱제품 제조업,기업인수,12/27/2019,12월,나상수,,경기도
이앤에치,341310,기타 섬유제품 제조업,"미세먼지용 HEPA 소재, 차량용 캐빈필터소재, 마스크용 소재",12/27/2019,12월,황규익,http://www.i-enh.com,경기도
CJ 바이오사이언스,311690,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",12/26/2019,12월,천종식,http://www.cjbioscience.com,서울특별시
엔에스엠,238170,합성고무 및 플라스틱 물질 제조업,전도성 고분자 코팅 대전방지 필름,12/26/2019,12월,김상엽,http://www.nsmcc.com,경기도
피피아이,062970,통신 및 방송 장비 제조업,"데이터센터용 AWG, 통신용 AWG, 스플리터, 계측기 등",12/26/2019,12월,김진봉,http://www.ppitek.com,광주광역시
RF머트리얼즈,327260,전자부품 제조업,"광통신, RF통신용 패키지",12/24/2019,12월,한기우,http://www.metal-life.co.kr,경기도
아이비김영,339950,일반 교습 학원,"오프라인 학원, 온라인강의",12/24/2019,12월,김석철,http://www.kimyoung.co.kr,서울특별시
하이제5호스팩,340120,금융 지원 서비스업,기업인수합병,12/23/2019,12월,한성룡,,서울특별시
브릿지바이오,288330,기초 의약물질 및 생물학적 제제 제조업,"펠리노-1 단백질 저해제, 오토택신 저해제",12/20/2019,12월,이정규,http://www.bridgebiorx.com,경기도
다보링크,340360,통신 및 방송 장비 제조업,"AP, APController 외",12/19/2019,12월,이용화,http://www.davolink.co.kr,경기도
대신밸런스제8호스팩,336570,금융 지원 서비스업,기업 인수 및 합병,12/19/2019,12월,한양현,,서울특별시
메드팩토,235980,자연과학 및 공학 연구개발업,항암제 신약개발,12/19/2019,12월,김성진,http://www.medpacto.com,서울특별시
신테카바이오,226330,소프트웨어 개발 및 공급업,유전체 빅데이터 기반의 AI신약개발 및 정밀의료서비스,12/17/2019,12월,정종선,http://www.syntekabio.com,대전광역시
제이엘케이,322510,소프트웨어 개발 및 공급업,"인공지능 기반 의료영상 진단 플랫폼, 인공지능 기반 산업용 X-ray 판독시스템",12/11/2019,12월,김동민,http://jlkgroup.com,충청북도
태웅로직스,124560,기타 운송관련 서비스업,"3자물류주선 (복합운송, 프로젝트운송, CIS운송 등)",12/10/2019,12월,한재동,http://www.e-tgl.com,서울특별시
IBKS제12호스팩,335870,금융 지원 서비스업,기타 금융업,12/9/2019,12월,-,,서울특별시
노드메이슨,317860,기타 화학제품 제조업,헉슬리/Huxley 화장품(스킨케어 스페셜/스킨케어베이직),12/6/2019,12월,이병훈 / 구자풍,http://www.huxley.co.kr,서울특별시
리메드,302550,의료용 기기 제조업,자기장 치료기기,12/6/2019,12월,-,http://remed.kr,대전광역시
NH프라임리츠,338100,부동산 임대 및 공급업,부동산 투자,12/5/2019,11월,권오성,http://www.nhreits.com,서울특별시
SK5호스팩,337450,금융 지원 서비스업,기업인수합병,12/4/2019,12월,우종민,,서울특별시
비올,335890,의료용 기기 제조업,의료기기,12/3/2019,12월,이상진,http://www.viol.co.kr,경기도
타스컴,336040,자연과학 및 공학 연구개발업,당뇨질환 세포치료제 / 당뇨관리 의료기기,12/2/2019,12월,이인근,http://www.yidobio.com,경기도
진코스텍,250030,기타 화학제품 제조업,"마스크팩 ODM/OEM, 하이드로겔 마스크팩",11/29/2019,12월,김임준,http://www.jincostech.com,경기도
코리아센터,290510,소프트웨어 개발 및 공급업,이커머스토탈솔루션,11/29/2019,12월,김기록,http://www.koreacenter.com,서울특별시
유안타제5호스팩,336060,금융 지원 서비스업,금융 지원 서비스,11/28/2019,12월,조수봉,,서울특별시
